,make,model,price,total_weight,motor_nominal_output,estimated_min_range,estimated_max_range,battery_watt_hours,url
867,Lapierre,OvervoltFS900,5500.0,49.0,350.0,35.0,65.0,400.0,https://electricbikereview.com/lapierre/overvolt-fs-900/
868,Lapierre,OvervoltHT900,4500.0,41.0,250.0,35.0,65.0,400.0,https://electricbikereview.com/lapierre/overvolt-ht-900/
869,NYCeWheels,ElectricBrompton,2795.0,45.0,250.0,10.0,40.0,201.6,https://electricbikereview.com/brompton/nycewheels-electric/
870,UrbanArrow,Family,4500.0,94.8,250.0,25.0,30.0,288.0,https://electricbikereview.com/urban-arrow/2014-family/
871,eProdigy,2015Banff,1999.0,52.0,350.0,25.0,30.0,325.6,https://electricbikereview.com/eprodigy/2015-banff/
872,EVELO,Aries,2079.0,59.0,500.0,20.0,60.0,360.0,https://electricbikereview.com/evelo/aries/
873,EVELO,Aurora,2079.0,55.0,500.0,20.0,60.0,360.0,https://electricbikereview.com/evelo/2014-aurora/
874,iGo,Tour,1499.0,66.0,250.0,20.0,40.0,360.0,https://electricbikereview.com/igo-electric/tour/
875,EasyMotion,EvoEcoLite,2399.0,54.0,350.0,20.0,45.0,316.8,https://electricbikereview.com/easy-motion/evo-eco-lite/
876,ProdecoTech,PhantomX2,1699.0,58.0,500.0,25.0,40.0,460.8,https://electricbikereview.com/prodecotech/phantom-x2/
877,ProdecoTech,Scorpion27,3999.0,38.0,250.0,20.0,35.0,306.9,https://electricbikereview.com/prodecotech/scorpion-27/
878,Smart,Ebike,3299.0,57.5,350.0,40.0,60.0,422.4,https://electricbikereview.com/smart/ebike/
879,EasyMotion,NeoProx,1799.0,45.0,350.0,20.0,40.0,316.8,https://electricbikereview.com/easy-motion/neo-prox/
880,Vanmoof,Electrified3,2998.0,41.8,250.0,18.6,37.2,208.8,https://electricbikereview.com/vanmoof/electrified-3/
881,BigCat,LongBeachCruiser,1495.0,68.0,350.0,10.0,20.0,288.0,https://electricbikereview.com/big-cat/long-beach-cruiser/
882,BigCat,HamptonFoldingBike,1195.0,56.0,350.0,10.0,20.0,360.0,https://electricbikereview.com/big-cat/hampton-folding-bike/
883,BigCat,Phantom,1495.0,68.0,350.0,10.0,20.0,288.0,https://electricbikereview.com/big-cat/phantom/
884,BigCat,NYCCargoBike,1299.0,72.0,350.0,10.0,20.0,288.0,https://electricbikereview.com/big-cat/nyc-cargo-bike/
885,Specialized,TurboS,6000.0,50.0,250.0,30.0,40.0,504.0,https://electricbikereview.com/specialized/2014-turbo-s/
886,Haibike,"XduroFSRX27.5""",4900.0,48.0,350.0,35.0,65.0,396.0,https://electricbikereview.com/haibike/xduro-fs-rx-27-5/
887,Haibike,"XduroRX29""",4000.0,45.0,350.0,35.0,65.0,396.0,https://electricbikereview.com/haibike/xduro-rx-29/
888,Haibike,XDUROTrekkingRX,4000.0,51.0,350.0,35.0,65.0,396.0,https://electricbikereview.com/haibike/xduro-trekking-rx/
889,Riide,ElectricBike,1799.0,35.0,350.0,20.0,30.0,313.2,https://electricbikereview.com/riide/v1/
890,,"<spanclass=""multi-property"">2014",,62.0,750.0,15.0,20.0,460.8,https://electricbikereview.com/prodecotech/outlaw-ss/
