,make,model,price,total_weight,motor_nominal_output,estimated_min_range,estimated_max_range,battery_watt_hours
970,IZIP,2014E3Peak,3000.0,48.6,350.0,25.0,35.0,417.6
971,eFlow,E3Flight,3000.0,50.0,500.0,20.0,35.0,396.0
972,ProdecoTech,PhantomX3,1899.0,59.0,500.0,35.0,50.0,614.4
973,ProdecoTech,PhantomX,1399.0,55.0,500.0,25.0,30.0,354.6
974,ProdecoTech,Stride500,1299.0,55.0,500.0,25.0,30.0,345.6
975,ProdecoTech,OutlawEX,2199.0,62.0,750.0,25.0,30.0,460.8
976,ProdecoTech,Mariner7,1399.0,46.0,300.0,25.0,35.0,345.6
977,Dahon,FormulaS18,3000.0,39.5,350.0,30.0,45.0,316.8
978,Haibike,XDUROAMTPro27.5,7800.0,46.5,350.0,35.0,65.0,396.0
979,Ford,Supercruiser,3595.0,60.0,600.0,15.0,30.0,480.0
980,F4W,Ride,1799.0,46.0,350.0,25.0,35.0,324.0
981,A2B,Kuo,1399.0,39.5,250.0,20.0,25.0,216.0
982,A2B,Octave,3399.0,87.5,500.0,20.0,25.0,475.2
983,Stromer,ST1Platinum,4399.0,62.0,500.0,40.0,55.0,522.0
984,Stromer,ST1Elite,3599.0,62.0,500.0,30.0,45.0,396.0
985,Yuba,elBodaBoda,2797.0,58.0,350.0,35.0,55.0,355.2
986,Pedego,TrailTracker,2975.0,65.0,600.0,,,480.0
987,IZIP,IZIPE3Metro,2699.0,55.0,500.0,20.0,35.0,360.0
988,Hebb,ElectroGlide1000,2599.0,62.0,500.0,20.0,30.0,518.0
989,Hebb,ElectroGlide500,2599.0,59.0,350.0,20.0,30.0,370.0
990,EZPedaler,T350,1895.0,57.0,350.0,20.0,30.0,432.0
991,EZPedaler,C350,1895.0,59.0,350.0,20.0,30.0,432.0
992,IZIP,E3Compact,2150.0,42.0,250.0,15.0,25.0,315.0
993,iGo,Urban,1599.0,56.0,250.0,20.0,40.0,360.0
994,"IES(InternationalEcologicalSystems,Ltd.)",Centaur,2000.0,88.0,190.0,25.0,30.0,
995,VeloMini,3Speed,1295.0,33.0,180.0,9.0,12.0,216.0
996,VeloMini,1Speed,1095.0,33.0,180.0,7.0,10.0,144.0
997,e-MazingInnovations,bob,1199.0,35.0,180.0,20.0,30.0,324.0
998,eZip,Skyline,899.0,52.0,250.0,15.0,25.0,240.0
999,EasyMotion,NeoXtrem,2699.0,54.0,350.0,25.0,45.0,316.8
1000,EasyMotion,NeoRace,3099.0,42.0,350.0,25.0,45.0,316.8
1001,EasyMotion,NeoCross,2699.0,48.0,350.0,20.0,40.0,316.8
1002,IZIP,E3Path,1699.0,52.0,250.0,15.0,25.0,240.0
1003,Bodhi,Sport,2500.0,59.0,250.0,10.0,20.0,208.8
1004,EZPedaler,F300,1479.0,52.0,250.0,20.0,30.0,360.0
1005,Bodhi,Step-Thru,2500.0,58.0,250.0,10.0,20.0,208.8
1006,EasyMotion,NeoJumper,4099.0,48.0,350.0,20.0,40.0,316.8
1007,OHM,SportXS750,4399.0,57.0,350.0,20.0,40.0,422.4
1008,EZPedaler,C300,1895.0,58.0,300.0,20.0,30.0,432.0
1009,EZPedaler,T300,1895.0,56.0,300.0,20.0,30.0,432.0
1010,JuicedRiders,ODKU500,2199.0,72.5,500.0,35.0,40.0,720.0
1011,Yuba,2012elMundo,2599.0,68.0,500.0,10.0,15.0,360.0
1012,IZIP,2013E3Zuma,2199.0,57.0,500.0,20.0,30.0,410.4
1013,eZip,Tri-Ride,1399.0,107.0,500.0,20.0,25.0,432.0
1014,Pedego,Trike,2895.0,65.0,350.0,15.0,25.0,360.0
1015,A2B,Velociti,2199.0,60.0,450.0,20.0,25.0,475.2
1016,Pedego,Interceptor,2495.0,60.0,500.0,15.0,30.0,480.0
1017,eFlow,E3Nitro,3500.0,52.0,500.0,30.0,45.0,522.0
1018,Pedego,TandemCruiser,2675.0,80.0,500.0,15.0,25.0,480.0
1019,Volton,2013Alation500,2199.0,56.0,500.0,25.0,40.0,528.0
1020,Specialized,Turbo,5900.0,47.5,250.0,25.0,45.0,324.0
1021,Polaris,Strive,2499.0,53.0,450.0,15.0,30.0,177.6
1022,IZIP,Express,2799.0,62.0,750.0,30.0,50.0,720.0
1023,Electra,2013TownieGo,2200.0,52.0,250.0,20.0,30.0,288.0
