name,address,city,state,zip,country,num_stalls,power,lat_lon,elevation,status,open_date
"Brooklyn - N 12th Street, NY",113 N 12th Street,Brooklyn,NY,11249,USA,4,72,"40.721861, -73.956629",6,OPEN,2017-10-09
"Wausau, WI",2101 North Mountain Road,Wausau,WI,54401,USA,8,150,"44.931202, -89.662213",362,OPEN,2017-10-06
"Weston, WV",39 Berlin Road,Weston,WV,26452,USA,8,,"39.019353, -80.416993",317,OPEN,2017-10-02
"Colby, KS",700 E Horton Ave,Colby,KS,67701,USA,10,150,"39.361357, -101.054063",976,OPEN,2017-10-02
"Carlisle, PA",1720 Harrisburg Pike,Carlisle,PA,17105,USA,8,,"40.233206, -77.119185",186,OPEN,2017-10-01
"Martinsburg, WV",1465 Edwin Miller Blvd,Martinsburg,WV,25401,USA,8,150,"39.485531, -77.956783",151,OPEN,2017-09-30
"Italy, TX",1021 Dale Evans Drive,Italy,TX,76651,USA,10,150,"32.194947, -96.89875",182,OPEN,2017-09-25
"North Huntingdon, PA","Sheetz, 7821 US-30",North Huntingdon,PA,15642,USA,8,150,"40.314135, -79.671409",335,OPEN,2017-09-24
"Nacogdoches, TX",2615 N Stallings Dr,Nacogdoches,TX,75964,USA,8,150,"31.651793, -94.679625",123,OPEN,2017-09-23
"Dickson, TN",100 Barzani Blvd,Dickson,TN,37055,USA,8,,"36.018349, -87.332955",262,OPEN,2017-09-20
"Franklin Park, PA",2615 Nicholson Road,Franklin Park Township,PA,15143,USA,8,,"40.613216, -80.100103",393,OPEN,2017-09-20
"Chester, VA",11701 Jefferson Davis Highway,Chester,VA,23831,USA,8,,"37.367323, -77.416947",40,OPEN,2017-09-20
"Burbank-North Third St, CA","501 N 3rd St, Top Parking Level",Burbank,CA,91502,USA,20,120,"34.18487, -118.311672",190,OPEN,2017-09-14
"Chicago - North Columbus Drive, IL",225 N Columbus Dr,Chicago,IL,60601,USA,10,72,"41.886458, -87.620262",177,OPEN,2017-09-11
"Boston - Boylston Street, MA",800 Boylston Street,Boston,MA,2199,USA,8,72,"42.34717, -71.081003",7,OPEN,2017-09-11
"Lansing, MI",2505 Showtime Dr,Lansing,MI,48912,USA,10,150,"42.766555, -84.514724",268,OPEN,2017-09-11
"Morgantown, WV",21 Asturias Lane,Morgantown,WV,26508,USA,8,,"39.579175, -79.953493",401,OPEN,2017-09-10
"Traverse City, MI","Meijer, 3955 US-31",Traverse City,MI,49684,USA,10,150,"44.744729, -85.644019",191,OPEN,2017-09-10
"North East, MD","Chesapeake House Travel Plaza, I-95",North East,MD,21901,USA,10,,"39.612048, -76.009908",111,OPEN,2017-09-10
"Burlington, NJ",2060 US-130,Burlington,NJ,8505,USA,8,,"40.101525, -74.793172",14,OPEN,2017-09-10
"Howard, WI",2015 Shawano Ave,Howard,WI,54303,USA,8,150,"44.5354319, -88.0777788",188,OPEN,2017-09-08
"Charlottesville, VA",2100 Bond St,Charlottesville,VA,22901,USA,8,,"38.067051, -78.492702",149,OPEN,2017-09-08
"Fort Wayne, IN",6309 Lima Rd,Fort Wayne,IN,46818,USA,10,150,"41.138806, -85.163548",250,OPEN,2017-09-08
"Hermitage, PA",2381 South Hermitage Road,Hermitage,PA,16148,USA,10,,"41.201068, -80.455205",420,OPEN,2017-09-05
"Aberdeen, MD","Maryland House Sevice Plaza, I-95",Aberdeen,MD,21001,USA,8,150,"39.498017, -76.231196",76,OPEN,2017-09-01
"La Vale, MD",11601 Winchester Road,La Vale,MD,21502,USA,8,120,"39.63626, -78.845748",331,OPEN,2017-09-01
"Rawlins, WY",2370 East Cedar Street,Rawlins,WY,82301,USA,8,150,"41.79082, -107.210272",2042,OPEN,2017-09-01
"Laramie, WY",1673 Centennial Drive,Laramie,WY,82070,USA,8,150,"41.32512, -105.618117",2180,OPEN,2017-08-31
"Breezewood, PA",16417 Lincoln Hwy,Breezewood,PA,15533,USA,8,,"39.999842, -78.238697",395,OPEN,2017-08-25
"Stateline, NV",50 US-50,Stateline,NV,89449,USA,14,150,"38.963471, -119.940651",1896,OPEN,2017-08-25
"Live Oak, FL",6886 US-129,Live Oak,FL,32060,USA,12,150,"30.331363, -82.961355",38,OPEN,2017-08-20
"Sarasota, FL",5901 North Honore Ave,Sarasota,FL,34232,USA,20,150,"27.386687, -82.464441",7,OPEN,2017-08-19
"Grasonville, MD","Royal Farms, 108 Jackson Creek Rd",Grasonville,MD,21638,USA,12,,"38.965706, -76.220905",2,OPEN,2017-08-18
"Guilderland, NY",1 Crossgates Mall Rd,Guilderland,NY,12203,USA,20,,"42.688932, -73.853554",80,OPEN,2017-08-16
"Rock Springs, WY",2441 Foothill Blvd,Rock Springs,WY,82901,USA,8,150,"41.580815, -109.262137",1904,OPEN,2017-08-10
"Monterey, CA",1100 Del Monte Center,Monterey,CA,93940,USA,10,150,"36.585729, -121.898765",67,OPEN,2017-08-10
"Pinellas Park, FL",3101 Gandy Blvd,Pinellas Park,FL,33782,USA,8,,"27.8461, -82.678114",4,OPEN,2017-08-10
"Steele, AL",905 Steele Station Rd,Steele,AL,35987,USA,8,,"33.933824, -86.191611",171,OPEN,2017-08-09
"Falls Creek, PA",1867 Rich Highway,Falls Creek,PA,15840,USA,8,,"41.14072, -78.784725",425,OPEN,2017-08-02
"McAllen, TX",800 Convention Center Blvd,McAllen,TX,78501,USA,8,150,"26.198443, -98.259839",34,OPEN,2017-07-28
"Cambridge, OH",2101 Southgate Pkwy,Cambridge,OH,43725,USA,8,,"40.003569, -81.574967",242,OPEN,2017-07-26
"Erwin, NY",125 Victory Highway,Painted Post,NY,14870,USA,10,,"42.170919, -77.107728",288,OPEN,2017-07-25
"Evanston, WY",101 Wasatch Rd,Evanston,WY,82930,USA,8,150,"41.263157, -110.985309",2080,OPEN,2017-07-18
"Grenada, MS",2030 Sunset Dr,Grenada,MS,38901,USA,8,,"33.787384, -89.849614",87,OPEN,2017-07-08
"Truth or Consequences, NM",2201 F G AMIN ST,Truth or Consequences,NM,87901,USA,8,150,"33.15524, -107.251642",1353,OPEN,2017-07-08
"Marshall, MI",15252 US Hwy 27 N,Marshall,MI,49068,USA,8,150,"42.292009, -84.964122",289,OPEN,2017-07-06
"Sequim, WA",1441 East Washington Street,Sequim,WA,98382,USA,8,150,"48.071232, -123.074527",54,OPEN,2017-07-05
"Dows, IA",904 Cardinal Ave,Dows,IA,50071,USA,8,150,"42.673838, -93.462294",360,OPEN,2017-06-30
"Arlington, WA","Angel of the Winds Casino,3438 Stoluckquamish Ln",Arlington,WA,98223,USA,16,150,"48.21237, -122.183551",94,OPEN,2017-06-28
"Ludington, MI",3900 W US Hwy 10,Ludington,MI,49431,USA,8,150,"43.957103, -86.376093",197,OPEN,2017-06-23
"Bristol, TN",428 Pinnacle Pkwy,Bristol,TN,37620,USA,8,150,"36.591697, -82.261339",549,OPEN,2017-06-17
"Osage Beach, MO",919 Hwy D,Osage Beach,MO,65065,USA,8,150,"38.162028, -92.605238",242,OPEN,2017-06-15
"Charleston, WV",100 Kanawha Blvd East,Charleston,WV,25301,USA,8,,"38.354712, -81.642845",181,OPEN,2017-06-11
"Florida City, FL",33505 S Dixie Hwy,Florida City,FL,33034,USA,8,150,"25.456825, -80.474341",1,OPEN,2017-06-02
"Victor, NY",7979 Pittsford Victor Rd,Victor,NY,14564,USA,8,,"43.028655, -77.440128",208,OPEN,2017-06-01
"Bolingbrook, IL",755 E Boughton Rd,Bolingbrook,IL,60440,USA,16,250,"41.722189, -88.037278",226,OPEN,2017-05-31
"Athens, AL",1325 US-72,Athens,AL,35611,USA,8,150,"34.785443, -86.942964",207,OPEN,2017-05-31
"Little Rock, AR",11231 Bass Pro Pkwy off of I-430,Little Rock,AR,72209,USA,10,150,"34.6614, -92.41031",95,OPEN,2017-05-20
"Wilmington, NC",1022 International Drive,Wilmington,NC,28405,USA,10,150,"34.240825, -77.829189",7,OPEN,2017-05-16
"Flatonia, TX",1415 FM 609 at I-10,Flatonia,TX,78941,USA,8,150,"29.697904, -97.099993",128,OPEN,2017-05-14
"Tupelo, MS",1001 Barnes Crossing Road,Tupelo,MS,38804,USA,8,,"34.311515, -88.700843",83,OPEN,2017-05-11
"Sidney, NE",645 Cabela Drive,Sidney,NE,69162,USA,8,150,"41.115424, -102.949694",1291,OPEN,2017-05-10
"Milford, CT","Connecticut Post Mall, 1201 Post Rd",Milford,CT,6460,USA,14,,"41.238035, -73.036156",6,OPEN,2017-04-28
"Monroe, WA",15067 N Kelsey St,Monroe,WA,98272,USA,12,150,"47.86274, -121.97672",20,OPEN,2017-04-25
"Arlington, TX",1200 Ballpark Way,Arlington,TX,76011,USA,10,150,"32.754659, -97.082823",164,OPEN,2017-04-22
"El Paso, TX",6401 Desert BLVD,El Paso,TX,79932,USA,8,150,"31.8839, -106.58379",1180,OPEN,2017-04-22
"Santa Fe, NM",8380 Cerrillos Road,Santa Fe,NM,87507,USA,8,150,"35.611793, -106.032196",1961,OPEN,2017-04-13
"Myrtle Beach, SC","Coastal Grand Mall, 2000 Coastal Grand Cir",Myrtle Beach,SC,29577,USA,10,150,"33.704388, -78.925172",6,OPEN,2017-03-25
"Klamath Falls, OR",1401 Washburn Way,Klamath Falls,OR,97603,USA,8,150,"42.216906, -121.756218",1250,OPEN,2017-03-16
"Waterloo, NY",1133 Ridge Road,Waterloo,NY,13165,USA,8,,"42.970012, -76.846134",156,OPEN,2017-03-12
"Las Vegas Blvd South, NV",6509 S Las Vegas Blvd,Las Vegas,NV,89119,USA,10,150,"36.070633, -115.17295",673,OPEN,2017-03-08
"Naples, FL",499 Bayfront Place,Naples,FL,34102,USA,8,,"26.14462, -81.788849",2,OPEN,2017-02-23
"Van Horn, TX",1921 SW Frontage Rd,Van Horn,TX,79855,USA,8,150,"31.03448, -104.861431",1230,OPEN,2017-02-20
"Ozona, TX",1307 Avenue A,Ozona,TX,76943,USA,6,150,"30.706696, -101.195962",718,OPEN,2017-01-19
"Lima, MT","108 Bailey St,",Lima,MT,59739,USA,8,150,"44.632745, -112.591203",1912,OPEN,2017-01-09
"Grand Island, NE",3335 W Wood River Rd,Grand Island,NE,68803,USA,8,150,"40.829973, -98.379822",574,OPEN,2017-01-06
"Lincoln, NE",5020 N 27th St,Lincoln,NE,68521,USA,8,150,"40.860817, -96.679723",368,OPEN,2017-01-05
"Moosic, PA","Shoppes at Montage, 2142–2598 Shoppes Blvd",Moosic,PA,18507,USA,8,,"41.361979, -75.676596",320,OPEN,2017-01-05
"Junction, TX",2415 N Main St,Junction,TX,76849,USA,8,150,"30.509233, -99.77456",519,OPEN,2017-01-04
"Kuttawa, KY",62 Days Inn Dr,Kuttawa,KY,42055,USA,8,150,"37.073405, -88.124752",134,OPEN,2017-01-01
"Brush, CO",1156 Colorado Ave,Brush,CO,80723,USA,8,150,"40.270895, -103.62223",1289,OPEN,2016-12-31
"Loveland, CO",Embassy Suites at 4705 Clydesdale Pkwy,Loveland,CO,80538,USA,10,150,"40.44146, -104.991205",1546,OPEN,2016-12-29
"Midland, TX",3001 Antelope Trail,Midland,TX,79703,USA,8,150,"31.947361, -102.141289",863,OPEN,2016-12-24
"Aberdeen, WA",416 Wishkah Street,Aberdeen,WA,98520,USA,8,150,"46.976679, -123.813485",132,OPEN,2016-12-22
"Clearwater, MN",950 MN-24,Clearwater,MN,55320,USA,8,150,"45.411899, -94.054852",304,OPEN,2016-12-22
"Texarkana, TX",3101 Mall Dr,Texarkana,TX,75503,USA,8,150,"33.459926, -94.077179",100,OPEN,2016-12-21
"Mt. Gilead, OH",6200 State Route 95,Mt. Gilead,OH,43338-9548,USA,8,,"40.494024, -82.712896",354,OPEN,2016-12-16
"Groveland, CA",11875 Ponderosa Ln,Groveland,CA,95321,USA,7,150,"37.838679, -120.23199",865,OPEN,2016-12-16
"Fish Camp, CA",1122 California 41,Fish Camp,CA,93623,USA,8,150,"37.473828, -119.635893",1557,OPEN,2016-12-15
"Twentynine Palms, CA",73829 Baseline Rd,Twentynine Palms,CA,92277,USA,8,150,"34.12046, -116.050953",631,OPEN,2016-12-09
"Santa Ana, CA",2800 N Main St,Santa Ana,CA,92705,USA,12,150,"33.776011, -117.872176",47,OPEN,2016-12-06
"Tarrytown, NY",600 White Plains Road,Tarrytown,NY,10591,USA,12,,"41.061499, -73.836411",51,OPEN,2016-12-02
"Ogallala, NE",501 Stagecoach Trail,Ogallala,NE,69153,USA,8,150,"41.116493, -101.709415",977,OPEN,2016-12-02
"Gothenburg, NE",318 Platte River Rd,Gothenburg,NE,69138,USA,8,150,"40.917317, -100.169913",780,OPEN,2016-12-02
"Memphis, TN",1203 Ridgeway Rd,Memphis,TN,38119,USA,8,150,"35.097801, -89.858957",95,OPEN,2016-12-01
"Jackson, TN",56 Casey Jones Ln,Jackson,TN,38305,USA,8,,"35.660349, -88.855771",100,OPEN,2016-11-30
"Joplin, MO",3615 Range Line Rd,Joplin,MO,64804,USA,8,150,"37.047552, -94.473399",314,OPEN,2016-11-30
"Lincoln, NH",22 S Mountain Dr,Lincoln,NH,3251,USA,6,,"44.042314, -71.668127",245,OPEN,2016-11-24
"Springfield, MO",3050 North Kentwood St,Springfield,MO,65803,USA,8,150,"37.251836, -93.265534",398,OPEN,2016-11-16
"Birmingham, AL",2221 Richard Arrington Jr Blvd N,Birmingham,AL,35203,USA,8,,"33.525917, -86.806875",182,OPEN,2016-11-16
"Gustine, CA",12411 California Highway 33,Gustine,CA,95322,USA,12,150,"37.109305, -121.017565",47,OPEN,2016-11-16
"Kingsville, TX",2400 South Highway 77,Kingsville,TX,78363,USA,8,150,"27.493808, -97.844399",17,OPEN,2016-11-15
"Columbia, SC",8910 Farrow Rd,Columbia,SC,29203,USA,8,150,"34.106319, -80.950723",95,OPEN,2016-11-15
"Bandon, OR",44 Michigan Ave NE,Bandon,OR,97411,USA,8,150,"43.121854, -124.398942",23,OPEN,2016-11-04
"Mount Vernon, IL",222 Potomac Blvd,Mt. Vernon,IL,62864,USA,8,150,"38.316292, -88.955923",146,OPEN,2016-10-27
"West Des Moines, IA",1725 Jordan Creek Pkwy,West Des Moines,IA,50266,USA,8,150,"41.599019, -93.806336",300,OPEN,2016-10-21
"Davenport, IA",North Ridge Shopping Center 4064 E 53rd St,Davenport,IA,52807,USA,8,150,"41.575888, -90.513526",219,OPEN,2016-10-21
"Buena Park (SC), CA",6692 Auto Center Dr,Buena Park,CA,90621,USA,8,,"33.863379, -117.99103",25,OPEN,2016-10-20
"Jackson, WY",1155 S Highway 89,Jackson,WY,83001,USA,8,,"43.463995, -110.794875",1868,OPEN,2016-10-19
"Childress, TX",1300 Avenue F NW,Childress,TX,79201,USA,8,150,"34.432426, -100.218676",580,OPEN,2016-10-19
"Kingston, NY",640 Washington Ave,Kingston,NY,12401,USA,8,,"41.941916, -74.027208",47,OPEN,2016-10-18
"Bloomsburg, PA",11 Ricky Ave,Bloomsburg,PA,17815,USA,8,,"41.016143, -76.492616",197,OPEN,2016-10-14
"Channelview, TX",16311 East Fwy,Channelview,TX,77530,USA,8,150,"29.784665, -95.110612",7,OPEN,2016-10-10
"Meridian, MS",1210 Bonita Lakes Drive,Meridian,MS,39301,USA,8,,"32.35778, -88.671246",123,OPEN,2016-10-07
"North Aurora, IL",151 Hansen Blvd,North Aurora,IL,60542,USA,8,,"41.802949, -88.370249",212,OPEN,2016-10-05
"Berlin, VT",213 Payne Turnpike,Berlin,VT,5602,USA,8,,"44.212532, -72.576462",299,OPEN,2016-10-03
"Three Rivers, TX","2645 S Hwy 37, I-37 Exit 72",Three Rivers,TX,78071,USA,8,150,"28.521614, -98.185829",51,OPEN,2016-09-30
"Bakersfield, CA",29541 Stockdale Hwy,Bakersfield,CA,93314,USA,10,150,"35.354643, -119.331607",93,OPEN,2016-09-29
"Coralville, IA",1914 8th St,Coralville,IA,52241,USA,8,150,"41.680372, -91.591467",205,OPEN,2016-09-29
"Rolla, MO",1705 Martin Spring Dr,Rolla,MO,65401,USA,8,150,"37.940064, -91.801658",293,OPEN,2016-09-27
"Bay City, MI",2980 Wilder Road,Bay City,MI,48706,USA,8,150,"43.622061, -83.932241",181,OPEN,2016-09-27
"Laurel, MD",14700 Baltimore Ave,Laurel,MD,20707,USA,8,,"39.095382, -76.858319",55,OPEN,2016-09-23
"Monroe, LA",4915 Pecanland Mall Dr,Monroe,LA,71203,USA,8,150,"32.496554, -92.055091",21,OPEN,2016-09-16
"Page, AZ",600 Clubhouse Dr,Page,AZ,86040,USA,8,150,"36.924902, -111.468041",1239,OPEN,2016-09-10
"Crescent City, CA",1000 Front St,Crescent City,CA,95531,USA,6,150,"41.752393, -124.1944",4,OPEN,2016-09-08
"Brewer, ME",5 Walton Dr,Brewer,ME,4412,USA,8,,"44.775909, -68.73432",43,OPEN,2016-09-02
"Lee, MA",10 Pleasant Street,Lee,MA,1238,USA,8,,"42.29571, -73.239245",267,OPEN,2016-08-20
"Sweetwater, TX",300 SE Georgia Ave,Sweetwater,TX,79556,USA,8,150,"32.450591, -100.392455",660,OPEN,2016-08-19
"Cisco, TX",16851 Interstate Highway 20,Cisco,TX,76437,USA,8,150,"32.374263, -99.007197",513,OPEN,2016-08-19
"Lincoln City, OR",1500 SE East Devils Lake Rd,Lincoln City,OR,97138,USA,8,150,"44.957751, -124.010966",24,OPEN,2016-08-19
"Port Huron, MI",500 Thomas Edison Pkwy,Port Huron,MI,48060,USA,8,150,"42.998817, -82.428935",182,OPEN,2016-08-18
"Eureka, CA","Bayshore Mall, 3300 Broadway St",Eureka,CA,95501,USA,8,,"40.778885, -124.188383",6,OPEN,2016-08-17
"Oakdale, MN",7180 10th St N,Oakdale,MN,55128,USA,8,150,"44.96499, -92.96129",329,OPEN,2016-08-17
"Folsom-Palladio, CA",220 Palladio Pkwy,Folsom,CA,95630,USA,10,150,"38.647199, -121.118344",116,OPEN,2016-08-13
"Catoosa, OK",777 W Cherokee St,Catoosa,OK,74015,USA,8,150,"36.167631, -95.766044",209,OPEN,2016-07-16
"Queensbury, NY","Aviation Mall, 578 Aviation Rd",Queensbury,NY,12804,USA,8,,"43.328388, -73.679992",130,OPEN,2016-07-15
"Napa, CA",Devlin Rd & Airport Blvd,Napa,CA,94558,USA,12,150,"38.2356, -122.264",15,OPEN,2016-07-11
"Seaside, OR",1111 North Roosevelt Drive,Seaside,OR,97138,USA,8,150,"46.00101, -123.91683",5,OPEN,2016-07-01
"Sulphur Springs, TX",300 W Tomlinson Street St,Sulphur Springs,TX,75482,USA,8,150,"33.137172, -95.603239",151,OPEN,2016-06-29
"Bowling Green, KY",1676 Westpark Dr,Bowling Green,KY,42104,USA,8,150,"36.955196, -86.438854",162,OPEN,2016-06-24
"Watertown, NY",21182 Salmon Run Mall Loop W,Watertown,NY,13601,USA,8,,"43.979585, -75.954114",156,OPEN,2016-06-24
"Egg Harbor Township, NJ",3121 Fire Rd,Egg Harbor Township,NJ,8234,USA,8,,"39.393663, -74.562619",9,OPEN,2016-06-23
"Peru, IL",1651 Midtown Rd,Peru,IL,61354,USA,8,150,"41.348503, -89.126115",195,OPEN,2016-06-22
"Bend, OR",61535 S Highway 97,Bend,OR,97702,USA,8,150,"44.03563, -121.308473",1142,OPEN,2016-06-17
"Augusta, GA",1069 Stevens Creek Rd,Augusta,GA,30907,USA,8,,"33.515004, -82.044443",89,OPEN,2016-06-12
"Plattsburgh, NY",60 Smithfield Blvd,Plattsburgh,NY,12901,USA,8,,"44.704537, -73.491829",94,OPEN,2016-06-09
"Idaho Falls, ID",940 Pier View Dr,Idaho Falls,ID,83402,USA,8,150,"43.485152, -112.05205",1426,OPEN,2016-06-09
"Lindale, TX",Collin St Bakery 17044 I-20,Lindale,TX,75771,USA,8,150,"32.470885, -95.450473",167,OPEN,2016-06-08
"Alexandria, LA",701 4th St,Alexandria,LA,71301,USA,8,150,"31.312424, -92.446436",23,OPEN,2016-06-07
"Tonopah, NV",171 Main St,Tonopah,NV,89049,USA,8,150,"38.069801, -117.232243",1834,OPEN,2016-06-03
"Southampton, NY",850 County Road 39,Southampton,NY,11968,USA,8,,"40.891909, -72.426995",14,OPEN,2016-06-03
"Erie, PA",2225 Downs Dr,Erie,PA,16509,USA,8,,"42.049602, -80.086345",358,OPEN,2016-06-03
"Miner, MO",2612 E Malone Ave,Miner,MO,63801,USA,8,150,"36.893583, -89.533986",94,OPEN,2016-06-01
"West Yellowstone, MT",201 S Canyon St,West Yellowstone,MT,59758,USA,8,150,"44.656089, -111.099022",2034,OPEN,2016-05-25
"Pocatello, ID","Clarion Inn, 1399 Bench Rd",Pocatello,ID,83201,USA,8,150,"42.899615, -112.435248",1409,OPEN,2016-05-24
"Shreveport, LA",1133 St. Vincent Ave,Shreveport,LA,71104,USA,8,150,"32.478594, -93.75437",59,OPEN,2016-05-12
"Temecula, CA",40820 Winchester Rd,Temecula,CA,92591,USA,10,150,"33.52421, -117.152568",324,OPEN,2016-05-10
"Harrisburg, PA",3915 Union Deposit Rd,Harrisburg,PA,17109,USA,8,,"40.277134, -76.823255",145,OPEN,2016-05-09
"Reno, NV",3800 S Virginia St,Reno,NV,89509,USA,6,150,"39.489732, -119.794179",1356,OPEN,2016-05-05
"Hawthorne, NV",705 Hwy 362,Hawthorne,NV,89415,USA,8,150,"38.533939, -118.62308",1301,OPEN,2016-05-03
"Pearl, MS",200 Bass Pro Dr,Pearl,MS,39208,USA,8,,"32.274159, -90.151048",79,OPEN,2016-03-31
"Terre Haute, IN","Meijer, 5600 E, New Margaret Dr",Terre Haute,IN,47803,USA,8,150,"39.443345, -87.331737",171,OPEN,2016-03-30
"Champaign, IL",2401 N Prospect Ave,Champaign,IL,61822,USA,8,150,"40.146209, -88.259884",228,OPEN,2016-03-23
"Beatty, NV",700 US-95,Beatty,NV,89003,USA,8,150,"36.913718, -116.754371",1011,OPEN,2016-02-09
"Slidell, LA",Fremaux Town Center 1303 Town Center Pkwy,Slidell,LA,70458,USA,8,150,"30.266552, -89.760156",3,OPEN,2016-02-06
"Buttonwillow, CA",20673 Tracy Ave,Buttonwillow,CA,93206,USA,10,150,"35.400105, -119.397796",90,OPEN,2016-01-29
"Fresno, CA",6709 North Riverside Dr,Fresno,CA,93704,USA,10,150,"36.835455, -119.91058",91,OPEN,2016-01-29
"Allentown, PA","Tilghman Square, 4680 Broadway",Allentown,PA,18104,USA,8,150,"40.588102, -75.559904",125,OPEN,2016-01-21
"Mammoth Lakes, CA",165 Old Mammoth Rd,Mammoth Lakes,CA,93546,USA,8,150,"37.644544, -118.965875",2390,OPEN,2016-01-21
"Ukiah, CA",310 S State St,Ukiah,CA,95482,USA,8,150,"39.1481, -123.208604",193,OPEN,2016-01-13
"Wytheville, VA",165 Malin Dr,Wytheville,VA,24382,USA,6,,"36.945795, -81.054406",683,OPEN,2015-12-30
"Victoria, TX",3107 South Laurent St,Victoria,TX,77901,USA,6,150,"28.766853, -96.978988",23,OPEN,2015-12-30
"Louisville, KY",2120 Gardiner Ln,Louisville,KY,40205,USA,8,150,"38.211846, -85.673087",151,OPEN,2015-12-30
"Colorado Springs, CO",215 North Cascade Ave,Colorado Springs,CO,80903,USA,8,150,"38.837573, -104.824907",1835,OPEN,2015-12-29
"Cadillac, MI",8605 34 Rd,Cadillac,MI,49601,USA,8,150,"44.282551, -85.403096",393,OPEN,2015-12-23
"Plantation, FL",813 S University Dr,Plantation,FL,33324,USA,16,150,"26.108614, -80.252268",1,OPEN,2015-12-19
"Asheville, NC",800 Brevard Road,Asheville,NC,28806,USA,8,150,"35.531391, -82.604487",662,OPEN,2015-12-16
"Lexington, VA",880 N Lee Hwy,Lexington,VA,24450,USA,6,150,"37.796979, -79.419007",319,OPEN,2015-12-16
"Burbank (SC), CA",811 S San Fernando Blvd,Burbank,CA,91502,USA,6,,"34.174712, -118.300826",168,OPEN,2015-12-15
"Tannersville, PA",1000 Premium Outlets Dr,Tannersville,PA,18372,USA,8,,"41.045431, -75.312244",284,OPEN,2015-12-14
"Augusta, ME",13 Stephen King Dr,Augusta,ME,4330,USA,8,,"44.34787, -69.786088",96,OPEN,2015-12-04
"Kingsland, GA",Kingsland Welcome Center 1190 East Boone Ave,Kingsland,GA,31548,USA,8,150,"30.790764, -81.663729",9,OPEN,2015-11-18
"Greenville, SC",108 Carolina Point Pkwy,Greenville,SC,29607,USA,8,150,"34.825895, -82.306973",304,OPEN,2015-11-09
"Amarillo, TX",8271 W Amarillo Blvd,Amarillo,TX,79124,USA,8,150,"35.189035, -101.931478",1134,OPEN,2015-11-05
"Denton, TX",2710 W University Dr,Denton,TX,76201,USA,6,150,"33.231403, -97.166419",212,OPEN,2015-11-04
"South Burlington, VT",222 Dorset St,South Burlington,VT,5403,USA,8,120,"44.462814, -73.179316",93,OPEN,2015-11-04
"Sandy, OR",16625 SE 362nd Dr,Sandy,OR,97055,USA,8,150,"45.403531, -122.294242",236,OPEN,2015-11-04
"Binghamton, NY",1062 Front St,Binghamton,NY,13905,USA,8,,"42.145553, -75.901755",262,OPEN,2015-11-01
"Twin Falls, ID","Twin Falls Tourist Center, 2015 Nielsen Point Place",Twin Falls,ID,83301,USA,8,150,"42.597887, -114.455249",1098,OPEN,2015-10-28
"Truckee-Brockway Rd, CA",The Rock 11209 Brockway Rd,Truckee,CA,96161,USA,8,,"39.321865, -120.1621",1801,OPEN,2015-10-23
"Gardnerville, NV","Topaz Lodge, 1979 US-395",Gardnerville,NV,89410,USA,6,150,"38.696426, -119.548534",1579,OPEN,2015-10-22
"Hinckley, MN",404 Fire Monument Rd,Hinckley,MN,55037,USA,8,150,"46.009592, -92.93155",313,OPEN,2015-10-21
"Baxter, MN",6967 Lake Forest Rd,Baxter,MN,56425,USA,8,150,"46.378868, -94.256413",369,OPEN,2015-10-21
"Norfolk, VA",5900 E Virginia Beach Blvd,Norfolk,VA,23502,USA,6,150,"36.860525, -76.207467",5,OPEN,2015-10-18
"Dublin - Amador Plaza, CA",6701 Amador Plaza Rd,Dublin,CA,94568,USA,14,,"37.703183, -121.925327",103,OPEN,2015-10-17
"Price, UT",925 West Westwood Blvd,Price,UT,84501,USA,8,150,"39.600731, -110.831701",1207,OPEN,2015-10-16
"Seabrook, NH",700 Lafayette Rd,Seabrook,NH,3874,USA,8,,"42.895182, -70.869351",16,OPEN,2015-10-09
"Sheboygan, WI","595 Taylor Dr, by Festival Foods",Sheboygan,WI,53081,USA,8,150,"43.749912, -87.747073",200,OPEN,2015-10-07
"Gillette, WY","Hampton Inn, 211 Decker Ct",Gillette,WY,82718,USA,4,,"44.29301, -105.526628",1400,OPEN,2015-09-24
"Tallahassee, FL",1400 Village Square Blvd,Tallahassee,FL,32309,USA,6,150,"30.510935, -84.247838",63,OPEN,2015-09-23
"Tinton Falls, NJ",1 Premium Outlets Blvd,Tinton Falls,NJ,7753,USA,8,,"40.226272, -74.093538",33,OPEN,2015-09-19
"Las Vegas, NM",2500 N Grand Ave,Las Vegas,NM,87701,USA,6,150,"35.622007, -105.20541",1971,OPEN,2015-09-14
"Columbia, MO",915 Port Way,Columbia,MO,65201,USA,8,150,"38.957816, -92.252773",254,OPEN,2015-09-11
"Albuquerque, NM",2600 Menaul Blvd NE,Albuquerque,NM,87107,USA,6,150,"35.108962, -106.612794",1558,OPEN,2015-09-04
"Kennewick, WA",2811 W 10th Ave,Kennewick,WA,99336,USA,8,150,"46.198085, -119.162734",167,OPEN,2015-09-04
"Strasburg, VA",119 Hite Ln,Strasburg,VA,22657,USA,6,,"39.00496, -78.337836",204,OPEN,2015-09-02
"Fountain Valley, CA",17900 Newhope St,Fountain Valley,CA,92708,USA,16,150,"33.70278, -117.934127",11,OPEN,2015-08-28
"Ann Arbor, MI",3145 Saline Road,Ann Arbor,MI,48108,USA,8,,"42.240687, -83.766265",282,OPEN,2015-08-20
