name,address,city,state,zip,country,num_stalls,power,lat_lon,elevation,status,open_date
"Atlanta - Peachtree Road, GA",3393 Peachtree Rd,Atlanta,GA,30326,USA,5,72,"33.848756, -84.36434",299,OPEN,2018-09-01
"San Jose - Coleman Ave, CA",533 Coleman Ave,San Jose,CA,95110,USA,12,150,"37.339661, -121.905085",24,OPEN,2018-09-01
"San Ramon, CA",2610 Bishop Dr,San Ramon,CA,94583,USA,10,150,"37.76292, -121.963662",140,OPEN,2018-08-30
"Jacksonville, FL",4866 Gate Pkwy,Jacksonville,FL,32466,USA,8,,"30.254019, -81.536459",12,OPEN,2018-08-29
"Atlanta - Lenox Road, GA",3393 Peachtree Rd NE,Atlanta,GA,30326,USA,16,72,"33.846445, -84.360194",291,OPEN,2018-08-24
"Houston - Northwest Fwy, TX",14620 Northwest Fwy,Houston,TX,77040,USA,8,150,"29.867259, -95.538125",29,OPEN,2018-08-18
"Sacramento - Arden Way, CA",1689 Arden Way,Sacramento,CA,95815,USA,20,72,"38.603327, -121.42853",10,OPEN,2018-08-11
"Islandia, NY",1750 Veterans Hwy,Islandia,NY,11749,USA,10,120,"40.805079, -73.180528",22,OPEN,2018-08-11
"Thousand Oaks - West Hillcrest Drive, CA",350 West Hillcrest Dr,Thousand Oaks,CA,91360,USA,20,72,"34.18445, -118.890747",202,OPEN,2018-08-05
"Chicago - North Halsted, IL",1457 N Halsted St,Chicago,IL,60642,USA,10,72,"41.908043, -87.647839",181,OPEN,2018-08-02
"Tampa - West Swann Ave, FL",2100 West Swann Ave,Tampa,FL,33606,USA,10,120,"27.937057, -82.481113",6,OPEN,2018-08-01
"York, PA",160 Leader Heights Rd,York,PA,17403,USA,8,120,"39.9102501, -76.7015182",220,OPEN,2018-08-01
"Leavenworth, WA",1329 US-2,Leavenworth,WA,98826,USA,16,150,"47.598608, -120.655636",353,OPEN,2018-07-28
"New York - 59 Allen Street, NY",59 Allen Street,Lower Manhattan,NY,95123,USA,4,72,"40.717153, -73.991869",12,OPEN,2018-07-25
